Date,Link,OptionText
2024-05-07 06:23:50,https://www.linkedin.com/feed/update/urn:li:groupPost:8491835-7193456863022080000,USER()
2024-04-04 04:15:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7180911163977699328,.py
2024-04-04 04:13:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:7181345507020066816,npm run dev
2024-02-07 18:36:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:7161057147651342337,REMOVE
2024-01-30 19:02:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7157871021415424000,"Yes, it’s a great tool 👍"
2024-01-09 04:55:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:7149006700010790913,🧑‍💻 DApps
2023-04-13 20:13:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:7052242987501719552,Paid
2023-04-13 20:13:17,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7052363762267271168,Yes
2023-04-10 14:05:00,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-7051031736943611905,writes it to the text file
2023-04-01 03:07:01,https://www.linkedin.com/feed/update/urn:li:groupPost:3990648-7047728826717532160,number of items
